LED #,LED PWM (%),LED current (%),Duration (s)
1,90.4,97.0,0.002
1,90.4,97.0,0.002
1,90.5,97.0,0.002
1,90.5,97.0,0.002
1,90.5,97.0,0.002
1,90.6,97.0,0.002
1,90.6,97.0,0.002
1,90.6,97.0,0.002
1,90.7,97.0,0.002
1,90.7,97.0,0.002
1,90.7,97.0,0.002
1,90.8,97.0,0.002
1,90.8,97.0,0.002
1,90.9,97.0,0.002
1,90.9,97.0,0.002
1,90.9,97.0,0.002
1,91.0,97.0,0.002
1,91.0,97.0,0.002
1,91.0,97.0,0.002
1,91.1,97.0,0.002
1,91.1,97.0,0.002
1,91.1,97.0,0.002
1,91.2,97.0,0.002
1,91.2,97.0,0.002
1,91.2,97.0,0.002
1,91.3,97.0,0.002
1,91.3,97.0,0.002
1,91.4,97.0,0.002
1,91.4,97.0,0.002
1,91.4,97.0,0.002
1,91.5,97.0,0.002
1,91.5,97.0,0.002
1,91.5,97.0,0.002
1,91.6,97.0,0.002
1,91.6,97.0,0.002
1,91.6,97.0,0.002
1,91.7,97.0,0.002
1,91.7,97.0,0.002
1,91.7,97.0,0.002
1,91.8,97.0,0.002
1,91.8,97.0,0.002
1,91.8,97.0,0.002
1,91.9,97.0,0.002
1,91.9,97.0,0.002
1,91.9,97.0,0.002
1,92.0,97.0,0.002
1,92.0,97.0,0.002
1,92.0,97.0,0.002
1,92.1,97.0,0.002
1,92.1,97.0,0.002
1,92.1,97.0,0.002
1,92.2,97.0,0.002
1,92.2,97.0,0.002
1,92.2,97.0,0.002
1,92.3,97.0,0.002
1,92.3,97.0,0.002
1,92.4,97.0,0.002
1,92.4,97.0,0.002
1,92.4,97.0,0.002
1,92.4,97.0,0.002
1,92.5,97.0,0.002
1,92.5,97.0,0.002
1,92.5,97.0,0.002
1,92.6,97.0,0.002
1,92.6,97.0,0.002
1,92.6,97.0,0.002
1,92.7,97.0,0.002
1,92.7,97.0,0.002
1,92.7,97.0,0.002
1,92.8,97.0,0.002
1,92.8,97.0,0.002
1,92.8,97.0,0.002
1,92.9,97.0,0.002
1,92.9,97.0,0.002
1,92.9,97.0,0.002
1,93.0,97.0,0.002
1,93.0,97.0,0.002
1,93.0,97.0,0.002
1,93.1,97.0,0.002
1,93.1,97.0,0.002
1,93.1,97.0,0.002
1,93.2,97.0,0.002
1,93.2,97.0,0.002
1,93.2,97.0,0.002
1,93.3,97.0,0.002
1,93.3,97.0,0.002
1,93.3,97.0,0.002
1,93.4,97.0,0.002
1,93.4,97.0,0.002
1,93.4,97.0,0.002
1,93.4,97.0,0.002
1,93.5,97.0,0.002
1,93.5,97.0,0.002
1,93.5,97.0,0.002
1,93.6,97.0,0.002
1,93.6,97.0,0.002
1,93.6,97.0,0.002
1,93.7,97.0,0.002
1,93.7,97.0,0.002
1,93.7,97.0,0.002
1,93.8,97.0,0.002
1,93.8,97.0,0.002
1,93.8,97.0,0.002
1,93.8,97.0,0.002
1,93.9,97.0,0.002
1,93.9,97.0,0.002
1,93.9,97.0,0.002
1,94.0,97.0,0.002
1,94.0,97.0,0.002
1,94.0,97.0,0.002
1,94.1,97.0,0.002
1,94.1,97.0,0.002
1,94.1,97.0,0.002
1,94.1,97.0,0.002
1,94.2,97.0,0.002
1,94.2,97.0,0.002
1,94.2,97.0,0.002
1,94.3,97.0,0.002
1,94.3,97.0,0.002
1,94.3,97.0,0.002
1,94.3,97.0,0.002
1,94.4,97.0,0.002
1,94.4,97.0,0.002
1,94.4,97.0,0.002
1,94.5,97.0,0.002
1,94.5,97.0,0.002
1,94.5,97.0,0.002
1,94.6,97.0,0.002
1,94.6,97.0,0.002
1,94.6,97.0,0.002
1,94.6,97.0,0.002
1,94.7,97.0,0.002
1,94.7,97.0,0.002
1,94.7,97.0,0.002
1,94.7,97.0,0.002
1,94.8,97.0,0.002
1,94.8,97.0,0.002
1,94.8,97.0,0.002
1,94.9,97.0,0.002
1,94.9,97.0,0.002
1,94.9,97.0,0.002
1,94.9,97.0,0.002
1,95.0,97.0,0.002
1,95.0,97.0,0.002
1,95.0,97.0,0.002
1,95.1,97.0,0.002
1,95.1,97.0,0.002
1,95.1,97.0,0.002
1,95.1,97.0,0.002
1,95.2,97.0,0.002
1,95.2,97.0,0.002
1,95.2,97.0,0.002
1,95.2,97.0,0.002
1,95.3,97.0,0.002
1,95.3,97.0,0.002
1,95.3,97.0,0.002
1,95.3,97.0,0.002
1,95.4,97.0,0.002
1,95.4,97.0,0.002
1,95.4,97.0,0.002
1,95.5,97.0,0.002
1,95.5,97.0,0.002
1,95.5,97.0,0.002
1,95.5,97.0,0.002
1,95.6,97.0,0.002
1,95.6,97.0,0.002
1,95.6,97.0,0.002
1,95.6,97.0,0.002
1,95.7,97.0,0.002
1,95.7,97.0,0.002
1,95.7,97.0,0.002
1,95.7,97.0,0.002
1,95.8,97.0,0.002
1,95.8,97.0,0.002
1,95.8,97.0,0.002
1,95.8,97.0,0.002
1,95.9,97.0,0.002
1,95.9,97.0,0.002
1,95.9,97.0,0.002
1,95.9,97.0,0.002
1,96.0,97.0,0.002
1,96.0,97.0,0.002
1,96.0,97.0,0.002
1,96.0,97.0,0.002
1,96.1,97.0,0.002
1,96.1,97.0,0.002
1,96.1,97.0,0.002
1,96.1,97.0,0.002
1,96.2,97.0,0.002
1,96.2,97.0,0.002
1,96.2,97.0,0.002
1,96.2,97.0,0.002
1,96.3,97.0,0.002
1,96.3,97.0,0.002
1,96.3,97.0,0.002
1,96.3,97.0,0.002
1,96.3,97.0,0.002
1,96.4,97.0,0.002
1,96.4,97.0,0.002
1,96.4,97.0,0.002
1,96.4,97.0,0.002
1,96.5,97.0,0.002
1,96.5,97.0,0.002
1,96.5,97.0,0.002
1,96.5,97.0,0.002
1,96.6,97.0,0.002
1,96.6,97.0,0.002
1,96.6,97.0,0.002
1,96.6,97.0,0.002
1,96.6,97.0,0.002
1,96.7,97.0,0.002
1,96.7,97.0,0.002
1,96.7,97.0,0.002
1,96.7,97.0,0.002
1,96.8,97.0,0.002
1,96.8,97.0,0.002
1,96.8,97.0,0.002
1,96.8,97.0,0.002
1,96.8,97.0,0.002
1,96.9,97.0,0.002
1,96.9,97.0,0.002
1,96.9,97.0,0.002
1,96.9,97.0,0.002
1,97.0,97.0,0.002
1,97.0,97.0,0.002
1,97.0,97.0,0.002
1,97.0,97.0,0.002
1,97.0,97.0,0.002
1,97.1,97.0,0.002
1,97.1,97.0,0.002
1,97.1,97.0,0.002
1,97.1,97.0,0.002
1,97.1,97.0,0.002
1,97.2,97.0,0.002
1,97.2,97.0,0.002
1,97.2,97.0,0.002
1,97.2,97.0,0.002
1,97.3,97.0,0.002
1,97.3,97.0,0.002
1,97.3,97.0,0.002
1,97.3,97.0,0.002
1,97.3,97.0,0.002
1,97.4,97.0,0.002
1,97.4,97.0,0.002
